Product ID,Product Category,Product Position,Price,Promotion,Foot Traffic,Consumer Demographics,Seasonal,Competitor Price,Sales Volume
PRD0070,Food,Front of Store,164.2,Yes,Low,Young Adults,No,188.18,998
PRD0071,Clothing,Front of Store,145.11,No,Low,Young Adults,Yes,156.96,384
PRD0072,Electronics,End-cap,235.79,Yes,Medium,Young Adults,No,214.48,536
PRD0073,Clothing,End-cap,326.12,Yes,Low,Seniors,Yes,277.74,620
PRD0074,Clothing,Front of Store,157.67,No,Low,Seniors,No,172.59,819
PRD0075,Clothing,Aisle,183.02,No,Low,Families,No,194.38,292
PRD0076,Electronics,Aisle,441.99,Yes,Medium,Families,Yes,472.36,1066
PRD0077,Electronics,End-cap,235.67,No,High,Families,No,254.85,1736
PRD0078,Electronics,End-cap,402.39,Yes,Low,Seniors,No,350.97,531
PRD0079,Food,End-cap,362.59,Yes,Medium,Seniors,Yes,347.19,1065
PRD0080,Electronics,Front of Store,382.01,No,High,Young Adults,No,337.99,1339
PRD0081,Clothing,Aisle,163.52,No,Low,Seniors,Yes,181.33,341
PRD0082,Electronics,End-cap,,Yes,Low,Families,Yes,109.45,657
PRD0083,Electronics,Front of Store,159.9,Yes,Medium,Families,No,151.79,643
PRD0084,Clothing,End-cap,27.63,Yes,Medium,Seniors,Yes,24.01,632
PRD0085,Food,Aisle,432.72,Yes,High,College Students,No,408.18,785
PRD0086,Electronics,Aisle,371.92,No,High,Young Adults,No,352.41,474
PRD0087,Food,End-cap,13.03,No,Medium,Seniors,No,13.93,777
PRD0088,Food,Front of Store,278.89,No,Medium,College Students,Yes,290.4,507
PRD0089,Food,Aisle,294.1,No,Low,Families,No,328.26,412
PRD0090,Clothing,Aisle,361.41,Yes,Low,Seniors,No,358.4,242
PRD0091,Food,Aisle,151.12,No,High,Young Adults,No,133.87,824
PRD0092,Food,End-cap,102.11,No,High,College Students,No,108.64,1443
PRD0093,Clothing,Front of Store,118.86,No,Low,College Students,No,128.16,185
PRD0094,Food,Front of Store,287.05,No,Low,Seniors,Yes,292.33,513
PRD0095,Food,Front of Store,126.64,No,High,Seniors,Yes,136.93,1354
PRD0096,Clothing,Front of Store,277.57,Yes,Low,College Students,Yes,277.05,347
PRD0097,Clothing,Front of Store,,Yes,Medium,Families,Yes,475.23,1288
PRD0098,Electronics,End-cap,172.09,No,Medium,Young Adults,No,168.35,787
PRD0099,Electronics,End-cap,382.86,No,High,Families,No,328.35,827
PRD0100,Electronics,Front of Store,246.87,No,High,College Students,No,217.83,884
PRD0101,Food,Front of Store,363.16,Yes,Low,Families,Yes,312.11,637
PRD0102,Food,End-cap,371.1,Yes,Low,Seniors,No,386.29,716
PRD0103,Food,End-cap,233.11,Yes,Medium,College Students,Yes,220.13,1057
PRD0104,Clothing,Front of Store,367.72,,Low,Young Adults,No,368.67,334
PRD0105,Food,Front of Store,179.33,No,High,Young Adults,Yes,201.26,1040
PRD0106,Electronics,End-cap,74.28,Yes,High,Families,No,68.69,786
PRD0107,Clothing,Aisle,275.54,Yes,Low,Families,Yes,268.13,439
PRD0108,Clothing,Front of Store,96.1,No,Medium,Young Adults,No,103.47,481
PRD0109,Clothing,Aisle,445.24,Yes,Medium,College Students,No,409.02,506
PRD0110,Electronics,Front of Store,495.21,No,Low,Families,No,432.36,575
PRD0111,Electronics,Front of Store,478.83,No,Low,College Students,Yes,448.63,557
PRD0112,Electronics,Front of Store,264.35,No,High,Young Adults,Yes,237.48,1064
PRD0113,Clothing,Front of Store,420.34,No,High,College Students,Yes,474.53,665
PRD0114,Clothing,Aisle,41.79,No,High,Young Adults,Yes,45.65,746
PRD0115,Food,End-cap,409.91,,Medium,College Students,Yes,426.32,1365
PRD0116,Food,End-cap,29.01,Yes,Low,Seniors,No,32.24,730
PRD0117,Electronics,Aisle,8.16,Yes,High,College Students,Yes,8.9,1818
PRD0118,Clothing,End-cap,73.06,No,Medium,Young Adults,Yes,66.19,782
PRD0119,Food,End-cap,317.2,Yes,High,College Students,Yes,354.56,1588
PRD0120,Electronics,End-cap,38.64,Yes,Low,Seniors,Yes,39.1,635
PRD0121,Electronics,End-cap,79.76,Yes,Medium,Families,No,87.12,1041
PRD0122,Food,End-cap,113.27,Yes,Low,College Students,No,126.73,668
PRD0123,Electronics,Front of Store,230.72,No,Low,Young Adults,Yes,218.12,509
PRD0124,Clothing,Aisle,34.92,Yes,Medium,Seniors,Yes,30.83,836
PRD0125,Electronics,End-cap,320.68,No,Medium,Families,No,294.51,534
PRD0126,Clothing,End-cap,,No,High,College Students,Yes,457.06,630
PRD0127,Clothing,End-cap,456.81,Yes,Medium,Families,No,500.39,449
PRD0128,Food,Front of Store,331.35,Yes,Medium,College Students,Yes,367.21,988
PRD0129,Food,End-cap,12.79,No,High,College Students,No,10.9,702
PRD0130,Food,End-cap,268.45,Yes,Low,Families,Yes,269.32,248
PRD0131,Electronics,Aisle,208.61,Yes,Medium,Families,Yes,203.44,725
PRD0132,Food,Front of Store,13.28,No,Low,Seniors,No,12.17,734
PRD0133,Food,End-cap,362.49,No,Low,College Students,No,321.15,489
PRD0134,Electronics,Aisle,270.19,Yes,Medium,College Students,No,257.03,813
PRD0135,Food,Aisle,146.91,Yes,Low,Families,Yes,166.43,512
PRD0136,Electronics,Aisle,253.6,No,Low,Seniors,Yes,240.15,339
PRD0137,Electronics,Aisle,350.44,Yes,High,Families,Yes,352.42,1368
PRD0138,Clothing,End-cap,218.13,No,High,Young Adults,No,231.42,1054
PRD0139,Clothing,Aisle,470.16,Yes,High,Seniors,No,450.93,1053
PRD0140,Food,Front of Store,93.74,No,Low,Young Adults,Yes,107.01,506
PRD0141,Electronics,Front of Store,459.43,No,Low,Seniors,No,523.17,369
PRD0142,Clothing,End-cap,264.57,No,High,College Students,Yes,244.87,1362
PRD0143,Clothing,Aisle,124.28,No,Medium,Families,Yes,124.18,473
PRD0144,Clothing,Front of Store,311.79,Yes,High,Seniors,Yes,293.16,904
PRD0145,Clothing,Aisle,129.95,Yes,Medium,College Students,No,121.56,754
PRD0146,Food,Front of Store,180.45,No,Medium,College Students,No,155.38,438
PRD0147,Clothing,Front of Store,398.49,Yes,Low,Young Adults,No,411.59,605
PRD0148,Food,Front of Store,44.11,No,High,Young Adults,Yes,44.15,987
PRD0149,Electronics,End-cap,479.85,Yes,Medium,College Students,No,415.28,1206
PRD0150,Food,Front of Store,232.2,No,High,Young Adults,Yes,216.78,1028
PRD0151,Clothing,Aisle,125.39,Yes,Low,College Students,No,140.75,496
PRD0152,Electronics,End-cap,350.13,Yes,Low,College Students,No,322.77,793
PRD0153,Electronics,End-cap,,No,Low,College Students,Yes,137.14,694
PRD0154,Food,Front of Store,414.89,No,Medium,Young Adults,Yes,413.58,700
PRD0155,Electronics,End-cap,44.91,Yes,High,Seniors,Yes,51.45,1506
PRD0156,Food,Front of Store,495.88,Yes,Medium,College Students,No,457.51,473
PRD0157,Electronics,Aisle,326.7,Yes,High,Families,Yes,343.57,729
PRD0158,Food,End-cap,20.68,Yes,Medium,Families,No,22.3,909
PRD0159,Clothing,Front of Store,205.61,Yes,Low,Young Adults,Yes,189.43,446
PRD0160,Food,End-cap,191.7,No,Low,College Students,No,204.82,508
PRD0161,Food,End-cap,240.62,Yes,Low,College Students,No,231.08,647
PRD0162,Clothing,Aisle,320.19,No,Medium,Seniors,No,332.9,637
PRD0163,Food,Front of Store,352.91,No,High,Seniors,No,367.05,969
PRD0164,Food,Front of Store,45.93,No,Low,Families,Yes,46.42,529
PRD0165,Electronics,Aisle,423.44,Yes,Low,Families,Yes,371.39,463
PRD0166,Food,Aisle,324.23,Yes,Medium,Families,No,356.84,291
PRD0167,Electronics,Front of Store,168.98,No,Low,Families,No,159.89,301
PRD0168,Clothing,End-cap,,Yes,Low,College Students,No,442.81,609
PRD0169,Electronics,Aisle,487.05,No,Medium,Families,No,419.95,318
PRD0170,Electronics,Aisle,447.92,No,Medium,Seniors,No,460.13,648
PRD0171,Clothing,End-cap,459.98,Yes,Low,College Students,Yes,484.48,1022
PRD0172,Electronics,Front of Store,118.73,Yes,High,Young Adults,No,101.51,1597
PRD0173,Clothing,End-cap,451.13,Yes,High,Seniors,Yes,452.77,1405
PRD0174,Food,Aisle,347.68,No,High,Young Adults,Yes,319.15,1085
PRD0175,Food,End-cap,285.56,Yes,High,Families,No,298.0,1568
PRD0176,Electronics,Front of Store,,No,High,Families,No,125.59,808
PRD0177,Food,Aisle,462.46,No,High,College Students,No,488.95,673
PRD0178,Clothing,End-cap,343.79,No,Medium,College Students,Yes,332.11,636
PRD0179,Food,Front of Store,143.78,Yes,High,Seniors,Yes,162.62,1137
PRD0180,Clothing,Front of Store,273.8,No,Medium,Young Adults,No,244.03,630
PRD0181,Food,Front of Store,330.76,Yes,Medium,College Students,Yes,314.99,817
PRD0182,Electronics,Front of Store,93.78,Yes,Medium,College Students,Yes,82.91,780
PRD0183,Food,Front of Store,425.96,Yes,Low,Young Adults,Yes,480.23,679
PRD0184,Food,Front of Store,12.75,Yes,High,Young Adults,No,14.19,1746
PRD0185,Food,Aisle,107.54,No,High,Families,No,99.73,963
PRD0186,Clothing,Front of Store,76.37,No,High,Families,Yes,80.04,548
PRD0187,Clothing,Front of Store,411.24,Yes,Low,College Students,Yes,450.38,140
PRD0188,Electronics,Front of Store,411.35,No,Medium,Families,No,418.16,844
PRD0189,Clothing,End-cap,464.79,Yes,High,College Students,No,468.92,885
PRD0190,Food,Aisle,153.14,Yes,Low,College Students,Yes,141.28,424
PRD0191,Food,Aisle,284.16,No,Low,Young Adults,No,249.47,227
PRD0192,Clothing,End-cap,285.51,No,High,College Students,Yes,319.53,530
PRD0193,Food,Front of Store,425.47,No,Medium,College Students,Yes,476.58,767
PRD0194,Electronics,End-cap,340.13,No,Low,College Students,No,353.71,661
PRD0195,Electronics,End-cap,272.58,Yes,Medium,Families,No,259.42,752
PRD0196,Clothing,End-cap,195.0,No,Medium,Families,No,186.18,155
PRD0197,Clothing,Aisle,371.17,Yes,High,Seniors,Yes,396.33,896
PRD0198,Electronics,Aisle,396.3,Yes,High,Young Adults,No,443.51,1198
PRD0199,Electronics,Aisle,346.21,No,High,Seniors,Yes,386.41,458
PRD0200,Clothing,Front of Store,43.82,No,Medium,College Students,Yes,47.5,696
PRD0201,Clothing,Front of Store,374.0,Yes,Medium,College Students,No,389.94,854
PRD0202,Clothing,End-cap,176.2,Yes,Low,Seniors,Yes,154.22,747
PRD0203,Food,Aisle,53.35,Yes,Low,Young Adults,Yes,47.93,471
PRD0204,Clothing,Aisle,119.91,No,Low,College Students,No,134.25,272
PRD0205,Clothing,Front of Store,42.63,No,High,College Students,No,43.99,1345
PRD0206,Food,Front of Store,304.56,Yes,Medium,Families,No,259.72,742
PRD0207,Electronics,Aisle,308.86,No,Medium,College Students,No,271.93,495
PRD0208,Clothing,Aisle,299.83,,Medium,College Students,Yes,314.54,396
PRD0209,Food,Front of Store,484.62,No,Low,College Students,No,412.66,364
PRD0210,Clothing,Front of Store,166.56,Yes,High,Seniors,Yes,149.61,859
PRD0211,Clothing,Aisle,318.89,No,High,Families,Yes,323.55,782
PRD0212,Food,End-cap,392.86,No,Medium,College Students,No,415.48,1165
PRD0213,Electronics,End-cap,228.02,No,Medium,Young Adults,Yes,238.42,453
PRD0214,Food,End-cap,117.93,Yes,Medium,College Students,Yes,108.17,469
PRD0215,Clothing,End-cap,278.75,No,Medium,College Students,No,296.49,1109
PRD0216,Electronics,Aisle,190.84,Yes,Low,Young Adults,No,175.8,426
PRD0217,Food,End-cap,96.94,No,Low,Young Adults,No,91.86,391
PRD0218,Food,End-cap,295.01,Yes,Medium,Young Adults,No,316.83,1313
PRD0219,Electronics,Front of Store,193.14,Yes,Low,Families,Yes,201.81,491
PRD0220,Clothing,End-cap,387.22,Yes,Medium,Families,Yes,427.79,1549
PRD0221,Food,Front of Store,151.21,Yes,Medium,Families,Yes,158.36,1032
PRD0222,Food,Front of Store,126.99,Yes,Medium,Seniors,No,129.59,732
PRD0223,Food,Aisle,,Yes,Low,Young Adults,Yes,36.34,749
PRD0224,Clothing,Aisle,137.65,Yes,Medium,Young Adults,No,132.19,531
PRD0225,Food,Aisle,193.1,,Medium,Families,No,179.5,611
PRD0226,Electronics,Aisle,393.03,Yes,High,Young Adults,Yes,362.84,1062
PRD0227,Electronics,Front of Store,81.37,Yes,High,College Students,Yes,92.92,1789
PRD0228,Food,Aisle,197.86,No,Low,Families,Yes,191.51,513
PRD0229,Food,Front of Store,,Yes,High,College Students,Yes,205.14,1299
PRD0230,Electronics,Aisle,50.3,Yes,Low,Young Adults,Yes,52.28,387
PRD0231,Electronics,End-cap,471.77,Yes,Medium,Young Adults,No,513.49,1139
PRD0232,Food,End-cap,225.14,No,High,College Students,Yes,225.32,920
PRD0233,Electronics,Front of Store,381.87,No,Low,Young Adults,No,390.68,741
PRD0234,Clothing,End-cap,,Yes,Medium,Families,Yes,55.48,947
PRD0235,Clothing,End-cap,48.21,Yes,High,Seniors,Yes,43.8,1215
PRD0236,Clothing,Front of Store,218.33,Yes,High,Seniors,Yes,232.9,1358
PRD0237,Clothing,End-cap,280.71,Yes,Low,Seniors,No,262.25,379
PRD0238,Electronics,End-cap,258.66,Yes,Medium,Young Adults,Yes,221.75,644
PRD0239,Clothing,End-cap,56.13,No,High,Families,No,58.58,1570
PRD0240,Food,Aisle,49.36,,Medium,Families,No,44.58,521
PRD0241,Food,Front of Store,279.34,Yes,Medium,Young Adults,Yes,316.25,588
PRD0242,Clothing,Aisle,300.48,No,High,Families,Yes,341.4,957
PRD0243,Food,End-cap,393.3,No,Medium,Young Adults,Yes,442.25,1043
PRD0244,Clothing,End-cap,432.54,No,Low,Seniors,Yes,415.69,595
PRD0245,Clothing,Aisle,11.11,No,High,Families,No,9.5,974
PRD0246,Clothing,End-cap,209.84,No,Low,Young Adults,Yes,236.8,416
PRD0247,Food,Front of Store,390.69,No,High,Families,Yes,382.27,516
PRD0248,Food,Front of Store,363.8,No,Low,College Students,No,414.73,670
PRD0249,Clothing,Front of Store,281.97,Yes,Medium,College Students,No,321.19,774
PRD0250,Clothing,End-cap,496.4,No,Medium,College Students,No,548.97,712
PRD0251,Clothing,Front of Store,125.16,Yes,Low,Young Adults,Yes,117.44,763
PRD0252,Clothing,Front of Store,262.95,Yes,Medium,Families,Yes,253.89,910
PRD0253,Electronics,End-cap,344.23,Yes,Low,College Students,Yes,380.49,796
PRD0254,Clothing,Aisle,88.9,Yes,High,Families,No,84.02,1608
PRD0255,Food,Aisle,138.11,Yes,High,Young Adults,Yes,124.42,786
PRD0256,Clothing,End-cap,137.86,No,Medium,College Students,Yes,140.21,984
PRD0257,Electronics,Front of Store,77.24,Yes,Medium,College Students,No,87.35,872
PRD0258,Food,Aisle,87.77,No,High,Young Adults,Yes,92.93,891
PRD0259,Electronics,Aisle,141.6,No,Medium,Families,Yes,144.58,802
PRD0260,Clothing,Aisle,153.38,Yes,High,College Students,Yes,134.84,1123
PRD0261,Food,End-cap,392.42,,High,Families,Yes,405.96,1341
PRD0262,Clothing,Aisle,183.76,No,Low,Seniors,No,210.78,508
PRD0263,Food,Aisle,472.39,,Low,Young Adults,Yes,421.38,311
PRD0264,Food,End-cap,361.85,No,High,College Students,Yes,363.84,864
PRD0265,Food,End-cap,,Yes,High,Young Adults,No,278.77,1030
PRD0266,Electronics,End-cap,310.25,No,Low,Seniors,Yes,332.66,221
PRD0267,Clothing,Aisle,231.64,Yes,High,Young Adults,Yes,245.33,1734
PRD0268,Electronics,Aisle,72.07,Yes,High,Young Adults,Yes,76.45,717
PRD0269,Electronics,End-cap,8.35,Yes,High,College Students,Yes,8.0,1274
PRD0270,Clothing,Front of Store,200.87,No,Medium,Seniors,Yes,188.43,550
PRD0271,Clothing,End-cap,421.6,No,Low,College Students,Yes,460.73,588
PRD0272,Clothing,Aisle,193.05,Yes,High,Families,Yes,211.01,1334
PRD0273,Food,Aisle,431.79,No,High,Seniors,No,479.34,1037
PRD0274,Electronics,End-cap,222.91,No,Medium,Young Adults,Yes,250.54,635
PRD0275,Electronics,Front of Store,218.16,Yes,Medium,Young Adults,No,218.9,814
PRD0276,Electronics,Front of Store,412.65,Yes,High,Families,No,412.84,1396
PRD0277,Electronics,Aisle,327.26,Yes,Low,Young Adults,Yes,356.55,463
PRD0278,Electronics,Front of Store,299.22,Yes,Medium,College Students,Yes,312.68,1271
PRD0279,Food,Front of Store,153.72,Yes,Low,Seniors,No,163.03,689
PRD0280,Clothing,Front of Store,303.59,,Medium,Families,No,330.53,805
PRD0281,Food,End-cap,349.17,Yes,Medium,Families,Yes,390.02,1200
PRD0282,Food,Aisle,,No,Low,Young Adults,Yes,230.34,473
PRD0283,Food,End-cap,92.93,Yes,High,Young Adults,Yes,89.46,1439
PRD0284,Clothing,Front of Store,202.13,No,Low,Families,Yes,177.51,256
PRD0285,Clothing,Aisle,162.97,Yes,High,College Students,No,166.8,1201
PRD0286,Electronics,End-cap,368.76,No,High,College Students,No,317.42,844
PRD0287,Food,Aisle,318.29,Yes,Medium,Seniors,Yes,315.01,546
PRD0288,Electronics,End-cap,484.04,Yes,Medium,Young Adults,Yes,490.23,1177
PRD0289,Clothing,Aisle,392.08,Yes,Medium,Families,No,366.97,891
PRD0290,Clothing,End-cap,166.31,,High,Young Adults,No,170.84,1511
PRD0291,Clothing,Front of Store,143.75,No,High,Young Adults,Yes,123.5,983
PRD0292,Clothing,End-cap,,Yes,Low,College Students,No,339.31,962
PRD0293,Food,Front of Store,185.68,Yes,Low,Young Adults,Yes,203.65,643
PRD0294,Electronics,End-cap,466.37,Yes,Low,Seniors,No,446.81,1134
PRD0295,Clothing,Front of Store,103.9,Yes,Low,College Students,Yes,92.28,638
PRD0296,Electronics,Front of Store,498.65,No,High,College Students,Yes,501.98,467
PRD0297,Clothing,End-cap,94.06,Yes,High,Young Adults,No,101.68,1840
PRD0298,Electronics,End-cap,384.97,No,Low,College Students,No,352.15,546
PRD0299,Electronics,Aisle,18.32,Yes,Low,Seniors,Yes,19.0,694
PRD0300,Clothing,End-cap,364.97,No,High,Families,Yes,319.57,1262
PRD0301,Clothing,Aisle,471.77,Yes,Low,Seniors,Yes,408.32,436
PRD0302,Electronics,End-cap,108.78,Yes,Medium,College Students,No,109.8,633
PRD0303,Food,Aisle,399.85,No,High,Seniors,No,404.72,773
PRD0304,Clothing,Front of Store,416.48,No,Medium,College Students,No,433.65,491
PRD0305,Clothing,End-cap,39.23,No,Medium,Young Adults,Yes,41.89,635
PRD0306,Food,Front of Store,424.66,Yes,High,College Students,Yes,485.28,1514
PRD0307,Food,End-cap,398.55,Yes,High,Families,No,400.5,2253
PRD0308,Clothing,Aisle,338.12,Yes,Medium,Seniors,Yes,320.16,726
PRD0309,Clothing,End-cap,73.89,No,Low,Young Adults,No,80.43,345
PRD0310,Clothing,Aisle,154.9,Yes,Low,College Students,No,144.25,515
PRD0311,Clothing,Aisle,130.08,Yes,High,Seniors,Yes,127.7,1325
PRD0312,Electronics,End-cap,81.3,No,Medium,Seniors,No,71.02,571
PRD0313,Electronics,Front of Store,214.45,No,Medium,Seniors,Yes,183.91,575
PRD0314,Electronics,End-cap,191.61,No,High,Young Adults,No,218.2,1160
PRD0315,Clothing,Front of Store,227.29,No,High,College Students,No,250.2,756
PRD0316,Electronics,Aisle,300.98,No,Medium,College Students,Yes,318.68,656
PRD0317,Clothing,End-cap,293.21,,Medium,Young Adults,No,285.2,876
PRD0318,Clothing,End-cap,269.51,No,High,Families,Yes,243.09,1182
PRD0319,Electronics,Front of Store,,No,Medium,Seniors,No,414.5,440
PRD0320,Clothing,End-cap,435.47,No,Low,College Students,No,402.84,425
PRD0321,Electronics,Aisle,212.06,Yes,High,Young Adults,Yes,215.19,1304
PRD0322,Electronics,End-cap,23.2,Yes,Low,Young Adults,Yes,24.69,622
PRD0323,Electronics,Aisle,484.37,No,High,Seniors,Yes,507.65,1252
PRD0324,Electronics,Aisle,352.31,Yes,High,Young Adults,Yes,329.05,858
PRD0325,Electronics,Front of Store,407.09,Yes,Medium,Seniors,Yes,462.64,915
PRD0326,Food,Front of Store,298.94,No,Low,College Students,No,320.28,591
PRD0327,Food,Aisle,457.63,No,Medium,Seniors,Yes,465.09,315
PRD0328,Food,Front of Store,59.14,,Low,Families,No,61.12,217
PRD0329,Food,Front of Store,127.87,Yes,Medium,Seniors,Yes,124.79,422
PRD0330,Food,Aisle,334.02,No,High,Seniors,Yes,308.74,1034
PRD0331,Electronics,End-cap,87.34,No,Low,Families,Yes,83.57,408
PRD0332,Clothing,End-cap,308.28,No,Low,Seniors,Yes,332.13,952
PRD0333,Clothing,Front of Store,283.79,No,High,Young Adults,No,242.45,747
PRD0334,Electronics,Front of Store,324.29,No,High,College Students,No,286.94,949
PRD0335,Clothing,Aisle,325.14,No,Medium,College Students,No,280.86,731
PRD0336,Clothing,Aisle,483.57,No,Low,College Students,Yes,416.94,560
PRD0337,Food,Aisle,169.14,Yes,Medium,College Students,Yes,187.18,1157
PRD0338,Food,Aisle,399.13,Yes,Low,Families,No,423.52,681
PRD0339,Food,End-cap,57.44,Yes,Low,Seniors,Yes,56.99,832
PRD0340,Clothing,Aisle,53.81,No,Medium,Seniors,Yes,47.32,588
PRD0341,Food,Aisle,114.89,Yes,High,Young Adults,Yes,114.6,1202
PRD0342,Electronics,Front of Store,374.69,Yes,High,Seniors,No,371.71,976
PRD0343,Clothing,Aisle,281.21,No,Medium,Families,No,253.64,377
PRD0344,Clothing,Front of Store,345.39,Yes,High,Young Adults,Yes,338.54,1168
PRD0345,Food,Aisle,114.41,Yes,Medium,Young Adults,No,110.93,616
PRD0346,Electronics,Aisle,190.19,Yes,High,Seniors,No,196.8,926
PRD0347,Food,Front of Store,,Yes,Medium,Families,Yes,243.71,1037
PRD0348,Food,End-cap,341.38,No,Medium,College Students,No,294.81,900
PRD0349,Clothing,End-cap,346.77,Yes,Medium,Families,No,333.73,934
PRD0350,Clothing,Front of Store,79.62,Yes,Medium,Families,Yes,82.63,1238
PRD0351,Food,Front of Store,498.86,No,High,Families,Yes,499.33,650
PRD0352,Clothing,End-cap,243.97,No,Low,Young Adults,No,270.06,507
PRD0353,Clothing,Front of Store,151.24,Yes,High,Young Adults,No,158.44,1010
PRD0354,Clothing,Front of Store,460.67,,Low,Families,Yes,414.09,184
