Product ID,Product Category,Product Position,Price,Promotion,Foot Traffic,Consumer Demographics,Seasonal,Competitor Price,Sales Volume,Price Difference,Traffic Weight,Traffic Conversion Index
PRD0037,Clothing,Aisle,250.72,False,Medium,Seniors,True,198.79,497,51.93,2,248.5
PRD0038,Food,Aisle,267.35,False,Medium,Young Adults,True,235.08,582,32.27,2,291.0
PRD0039,Electronics,Front of Store,197.27,True,Low,Seniors,True,208.17,640,-10.9,1,640.0
PRD0040,Electronics,Aisle,131.22,True,Low,Seniors,True,128.86,641,2.36,1,641.0
PRD0041,Electronics,Aisle,168.48,False,Medium,Seniors,False,149.38,518,19.1,2,259.0
PRD0042,Clothing,Aisle,44.14,False,Low,Families,True,44.08,304,0.06,1,304.0
PRD0043,Clothing,End-cap,227.64,False,Medium,College Students,True,195.84,725,31.8,2,362.5
PRD0044,Electronics,Aisle,188.68,False,Medium,Families,False,211.85,639,-23.17,2,319.5
PRD0045,Clothing,Front of Store,270.14,False,High,Families,True,250.59,913,19.55,3,304.33
PRD0046,Clothing,End-cap,415.56,True,High,Families,False,435.82,1519,-20.26,3,506.33
PRD0047,Electronics,Aisle,30.51,True,Low,College Students,False,28.79,359,1.72,1,359.0
PRD0048,Clothing,Aisle,191.7,True,High,College Students,False,192.85,859,-1.15,3,286.33
PRD0049,Electronics,End-cap,250.72,True,High,Families,False,308.73,869,-58.01,3,289.67
PRD0050,Electronics,Aisle,24.58,False,Medium,Seniors,True,22.26,762,2.32,2,381.0
PRD0051,Food,Aisle,41.03,False,Low,Families,True,46.81,241,-5.78,1,241.0
PRD0052,Electronics,Front of Store,403.3,False,High,Families,False,436.59,784,-33.29,3,261.33
PRD0053,Clothing,End-cap,295.85,True,Low,Families,True,334.86,422,-39.01,1,422.0
PRD0054,Food,Front of Store,337.37,True,Medium,College Students,False,377.33,1088,-39.96,2,544.0
PRD0055,Electronics,Aisle,112.42,True,High,Families,False,115.72,977,-3.3,3,325.67
PRD0056,Food,Front of Store,108.4,True,Medium,Young Adults,False,122.12,1179,-13.72,2,589.5
PRD0057,Clothing,Aisle,453.98,False,High,Families,False,397.94,598,56.04,3,199.33
PRD0058,Electronics,End-cap,155.08,True,Low,Families,False,140.94,690,14.14,1,690.0
PRD0059,Clothing,End-cap,454.95,False,Medium,Young Adults,True,392.88,524,62.07,2,262.0
PRD0060,Food,End-cap,109.84,True,Medium,Families,False,104.08,1495,5.76,2,747.5
PRD0061,Electronics,Front of Store,250.72,False,Low,Families,True,95.75,270,154.97,1,270.0
PRD0062,Food,Front of Store,372.03,True,Medium,Families,False,346.51,852,25.52,2,426.0
PRD0063,Food,Aisle,374.71,True,Low,Seniors,True,411.66,595,-36.95,1,595.0
PRD0064,Electronics,End-cap,378.39,True,Medium,Seniors,True,362.13,1022,16.26,2,511.0
PRD0065,Food,Front of Store,457.65,False,Medium,Seniors,True,427.57,566,30.08,2,283.0
PRD0066,Clothing,Aisle,349.34,True,Medium,Young Adults,False,353.81,687,-4.47,2,343.5
PRD0067,Food,Front of Store,353.37,False,Low,Families,True,315.3,425,38.07,1,425.0
PRD0068,Clothing,Aisle,201.33,True,High,Families,False,219.58,1025,-18.25,3,341.67
PRD0069,Clothing,Front of Store,123.47,False,Medium,Seniors,False,107.71,773,15.76,2,386.5
PRD0070,Food,Front of Store,164.2,True,Low,Young Adults,False,188.18,998,-23.98,1,998.0
PRD0071,Clothing,Front of Store,145.11,False,Low,Young Adults,True,156.96,384,-11.85,1,384.0
PRD0072,Electronics,End-cap,235.79,True,Medium,Young Adults,False,214.48,536,21.31,2,268.0
PRD0073,Clothing,End-cap,326.12,True,Low,Seniors,True,277.74,620,48.38,1,620.0
PRD0074,Clothing,Front of Store,157.67,False,Low,Seniors,False,172.59,819,-14.92,1,819.0
PRD0075,Clothing,Aisle,183.02,False,Low,Families,False,194.38,292,-11.36,1,292.0
PRD0076,Electronics,Aisle,441.99,True,Medium,Families,True,472.36,1066,-30.37,2,533.0
PRD0077,Electronics,End-cap,235.67,False,High,Families,False,254.85,1736,-19.18,3,578.67
PRD0078,Electronics,End-cap,402.39,True,Low,Seniors,False,350.97,531,51.42,1,531.0
PRD0079,Food,End-cap,362.59,True,Medium,Seniors,True,347.19,1065,15.4,2,532.5
PRD0080,Electronics,Front of Store,382.01,False,High,Young Adults,False,337.99,1339,44.02,3,446.33
PRD0081,Clothing,Aisle,163.52,False,Low,Seniors,True,181.33,341,-17.81,1,341.0
PRD0082,Electronics,End-cap,250.72,True,Low,Families,True,109.45,657,141.27,1,657.0
PRD0083,Electronics,Front of Store,159.9,True,Medium,Families,False,151.79,643,8.11,2,321.5
PRD0084,Clothing,End-cap,27.63,True,Medium,Seniors,True,24.01,632,3.62,2,316.0
PRD0085,Food,Aisle,432.72,True,High,College Students,False,408.18,785,24.54,3,261.67
PRD0086,Electronics,Aisle,371.92,False,High,Young Adults,False,352.41,474,19.51,3,158.0
PRD0087,Food,End-cap,13.03,False,Medium,Seniors,False,13.93,777,-0.9,2,388.5
PRD0088,Food,Front of Store,278.89,False,Medium,College Students,True,290.4,507,-11.51,2,253.5
PRD0089,Food,Aisle,294.1,False,Low,Families,False,328.26,412,-34.16,1,412.0
PRD0090,Clothing,Aisle,361.41,True,Low,Seniors,False,358.4,242,3.01,1,242.0
PRD0091,Food,Aisle,151.12,False,High,Young Adults,False,133.87,824,17.25,3,274.67
PRD0092,Food,End-cap,102.11,False,High,College Students,False,108.64,1443,-6.53,3,481.0
PRD0093,Clothing,Front of Store,118.86,False,Low,College Students,False,128.16,185,-9.3,1,185.0
PRD0094,Food,Front of Store,287.05,False,Low,Seniors,True,292.33,513,-5.28,1,513.0
PRD0095,Food,Front of Store,126.64,False,High,Seniors,True,136.93,1354,-10.29,3,451.33
PRD0096,Clothing,Front of Store,277.57,True,Low,College Students,True,277.05,347,0.52,1,347.0
PRD0097,Clothing,Front of Store,250.72,True,Medium,Families,True,475.23,1288,-224.51,2,644.0
PRD0098,Electronics,End-cap,172.09,False,Medium,Young Adults,False,168.35,787,3.74,2,393.5
PRD0099,Electronics,End-cap,382.86,False,High,Families,False,328.35,827,54.51,3,275.67
PRD0100,Electronics,Front of Store,246.87,False,High,College Students,False,217.83,884,29.04,3,294.67
PRD0101,Food,Front of Store,363.16,True,Low,Families,True,312.11,637,51.05,1,637.0
PRD0102,Food,End-cap,371.1,True,Low,Seniors,False,386.29,716,-15.19,1,716.0
PRD0103,Food,End-cap,233.11,True,Medium,College Students,True,220.13,1057,12.98,2,528.5
PRD0104,Clothing,Front of Store,367.72,True,Low,Young Adults,False,368.67,334,-0.95,1,334.0
PRD0105,Food,Front of Store,179.33,False,High,Young Adults,True,201.26,1040,-21.93,3,346.67
PRD0106,Electronics,End-cap,74.28,True,High,Families,False,68.69,786,5.59,3,262.0
PRD0107,Clothing,Aisle,275.54,True,Low,Families,True,268.13,439,7.41,1,439.0
PRD0108,Clothing,Front of Store,96.1,False,Medium,Young Adults,False,103.47,481,-7.37,2,240.5
PRD0109,Clothing,Aisle,445.24,True,Medium,College Students,False,409.02,506,36.22,2,253.0
PRD0110,Electronics,Front of Store,495.21,False,Low,Families,False,432.36,575,62.85,1,575.0
PRD0111,Electronics,Front of Store,478.83,False,Low,College Students,True,448.63,557,30.2,1,557.0
PRD0112,Electronics,Front of Store,264.35,False,High,Young Adults,True,237.48,1064,26.87,3,354.67
PRD0113,Clothing,Front of Store,420.34,False,High,College Students,True,474.53,665,-54.19,3,221.67
PRD0114,Clothing,Aisle,41.79,False,High,Young Adults,True,45.65,746,-3.86,3,248.67
PRD0115,Food,End-cap,409.91,True,Medium,College Students,True,426.32,1365,-16.41,2,682.5
PRD0116,Food,End-cap,29.01,True,Low,Seniors,False,32.24,730,-3.23,1,730.0
PRD0117,Electronics,Aisle,8.16,True,High,College Students,True,8.9,1818,-0.74,3,606.0
PRD0118,Clothing,End-cap,73.06,False,Medium,Young Adults,True,66.19,782,6.87,2,391.0
PRD0119,Food,End-cap,317.2,True,High,College Students,True,354.56,1588,-37.36,3,529.33
PRD0120,Electronics,End-cap,38.64,True,Low,Seniors,True,39.1,635,-0.46,1,635.0
PRD0121,Electronics,End-cap,79.76,True,Medium,Families,False,87.12,1041,-7.36,2,520.5
PRD0122,Food,End-cap,113.27,True,Low,College Students,False,126.73,668,-13.46,1,668.0
PRD0123,Electronics,Front of Store,230.72,False,Low,Young Adults,True,218.12,509,12.6,1,509.0
PRD0124,Clothing,Aisle,34.92,True,Medium,Seniors,True,30.83,836,4.09,2,418.0
PRD0125,Electronics,End-cap,320.68,False,Medium,Families,False,294.51,534,26.17,2,267.0
PRD0126,Clothing,End-cap,250.72,False,High,College Students,True,457.06,630,-206.34,3,210.0
PRD0127,Clothing,End-cap,456.81,True,Medium,Families,False,500.39,449,-43.58,2,224.5
PRD0128,Food,Front of Store,331.35,True,Medium,College Students,True,367.21,988,-35.86,2,494.0
PRD0129,Food,End-cap,12.79,False,High,College Students,False,10.9,702,1.89,3,234.0
PRD0130,Food,End-cap,268.45,True,Low,Families,True,269.32,248,-0.87,1,248.0
PRD0131,Electronics,Aisle,208.61,True,Medium,Families,True,203.44,725,5.17,2,362.5
PRD0132,Food,Front of Store,13.28,False,Low,Seniors,False,12.17,734,1.11,1,734.0
PRD0133,Food,End-cap,362.49,False,Low,College Students,False,321.15,489,41.34,1,489.0
PRD0134,Electronics,Aisle,270.19,True,Medium,College Students,False,257.03,813,13.16,2,406.5
PRD0135,Food,Aisle,146.91,True,Low,Families,True,166.43,512,-19.52,1,512.0
PRD0136,Electronics,Aisle,253.6,False,Low,Seniors,True,240.15,339,13.45,1,339.0
PRD0137,Electronics,Aisle,350.44,True,High,Families,True,352.42,1368,-1.98,3,456.0
PRD0138,Clothing,End-cap,218.13,False,High,Young Adults,False,231.42,1054,-13.29,3,351.33
PRD0139,Clothing,Aisle,470.16,True,High,Seniors,False,450.93,1053,19.23,3,351.0
PRD0140,Food,Front of Store,93.74,False,Low,Young Adults,True,107.01,506,-13.27,1,506.0
PRD0141,Electronics,Front of Store,459.43,False,Low,Seniors,False,523.17,369,-63.74,1,369.0
PRD0142,Clothing,End-cap,264.57,False,High,College Students,True,244.87,1362,19.7,3,454.0
PRD0143,Clothing,Aisle,124.28,False,Medium,Families,True,124.18,473,0.1,2,236.5
PRD0144,Clothing,Front of Store,311.79,True,High,Seniors,True,293.16,904,18.63,3,301.33
PRD0145,Clothing,Aisle,129.95,True,Medium,College Students,False,121.56,754,8.39,2,377.0
PRD0146,Food,Front of Store,180.45,False,Medium,College Students,False,155.38,438,25.07,2,219.0
PRD0147,Clothing,Front of Store,398.49,True,Low,Young Adults,False,411.59,605,-13.1,1,605.0
PRD0148,Food,Front of Store,44.11,False,High,Young Adults,True,44.15,987,-0.04,3,329.0
PRD0149,Electronics,End-cap,479.85,True,Medium,College Students,False,415.28,1206,64.57,2,603.0
PRD0150,Food,Front of Store,232.2,False,High,Young Adults,True,216.78,1028,15.42,3,342.67
PRD0151,Clothing,Aisle,125.39,True,Low,College Students,False,140.75,496,-15.36,1,496.0
PRD0152,Electronics,End-cap,350.13,True,Low,College Students,False,322.77,793,27.36,1,793.0
PRD0153,Electronics,End-cap,250.72,False,Low,College Students,True,137.14,694,113.58,1,694.0
PRD0154,Food,Front of Store,414.89,False,Medium,Young Adults,True,413.58,700,1.31,2,350.0
PRD0155,Electronics,End-cap,44.91,True,High,Seniors,True,51.45,1506,-6.54,3,502.0
PRD0156,Food,Front of Store,495.88,True,Medium,College Students,False,457.51,473,38.37,2,236.5
PRD0157,Electronics,Aisle,326.7,True,High,Families,True,343.57,729,-16.87,3,243.0
PRD0158,Food,End-cap,20.68,True,Medium,Families,False,22.3,909,-1.62,2,454.5
PRD0159,Clothing,Front of Store,205.61,True,Low,Young Adults,True,189.43,446,16.18,1,446.0
PRD0160,Food,End-cap,191.7,False,Low,College Students,False,204.82,508,-13.12,1,508.0
PRD0161,Food,End-cap,240.62,True,Low,College Students,False,231.08,647,9.54,1,647.0
PRD0162,Clothing,Aisle,320.19,False,Medium,Seniors,False,332.9,637,-12.71,2,318.5
PRD0163,Food,Front of Store,352.91,False,High,Seniors,False,367.05,969,-14.14,3,323.0
PRD0164,Food,Front of Store,45.93,False,Low,Families,True,46.42,529,-0.49,1,529.0
PRD0165,Electronics,Aisle,423.44,True,Low,Families,True,371.39,463,52.05,1,463.0
PRD0166,Food,Aisle,324.23,True,Medium,Families,False,356.84,291,-32.61,2,145.5
PRD0167,Electronics,Front of Store,168.98,False,Low,Families,False,159.89,301,9.09,1,301.0
PRD0168,Clothing,End-cap,250.72,True,Low,College Students,False,442.81,609,-192.09,1,609.0
PRD0169,Electronics,Aisle,487.05,False,Medium,Families,False,419.95,318,67.1,2,159.0
PRD0170,Electronics,Aisle,447.92,False,Medium,Seniors,False,460.13,648,-12.21,2,324.0
PRD0171,Clothing,End-cap,459.98,True,Low,College Students,True,484.48,1022,-24.5,1,1022.0
PRD0172,Electronics,Front of Store,118.73,True,High,Young Adults,False,101.51,1597,17.22,3,532.33
PRD0173,Clothing,End-cap,451.13,True,High,Seniors,True,452.77,1405,-1.64,3,468.33
PRD0174,Food,Aisle,347.68,False,High,Young Adults,True,319.15,1085,28.53,3,361.67
PRD0175,Food,End-cap,285.56,True,High,Families,False,298.0,1568,-12.44,3,522.67
PRD0176,Electronics,Front of Store,250.72,False,High,Families,False,125.59,808,125.13,3,269.33
PRD0177,Food,Aisle,462.46,False,High,College Students,False,488.95,673,-26.49,3,224.33
PRD0178,Clothing,End-cap,343.79,False,Medium,College Students,True,332.11,636,11.68,2,318.0
PRD0179,Food,Front of Store,143.78,True,High,Seniors,True,162.62,1137,-18.84,3,379.0
PRD0180,Clothing,Front of Store,273.8,False,Medium,Young Adults,False,244.03,630,29.77,2,315.0
PRD0181,Food,Front of Store,330.76,True,Medium,College Students,True,314.99,817,15.77,2,408.5
PRD0182,Electronics,Front of Store,93.78,True,Medium,College Students,True,82.91,780,10.87,2,390.0
PRD0183,Food,Front of Store,425.96,True,Low,Young Adults,True,480.23,679,-54.27,1,679.0
PRD0184,Food,Front of Store,12.75,True,High,Young Adults,False,14.19,1746,-1.44,3,582.0
PRD0185,Food,Aisle,107.54,False,High,Families,False,99.73,963,7.81,3,321.0
PRD0186,Clothing,Front of Store,76.37,False,High,Families,True,80.04,548,-3.67,3,182.67
PRD0187,Clothing,Front of Store,411.24,True,Low,College Students,True,450.38,140,-39.14,1,140.0
PRD0188,Electronics,Front of Store,411.35,False,Medium,Families,False,418.16,844,-6.81,2,422.0
PRD0189,Clothing,End-cap,464.79,True,High,College Students,False,468.92,885,-4.13,3,295.0
PRD0190,Food,Aisle,153.14,True,Low,College Students,True,141.28,424,11.86,1,424.0
PRD0191,Food,Aisle,284.16,False,Low,Young Adults,False,249.47,227,34.69,1,227.0
PRD0192,Clothing,End-cap,285.51,False,High,College Students,True,319.53,530,-34.02,3,176.67
PRD0193,Food,Front of Store,425.47,False,Medium,College Students,True,476.58,767,-51.11,2,383.5
PRD0194,Electronics,End-cap,340.13,False,Low,College Students,False,353.71,661,-13.58,1,661.0
PRD0195,Electronics,End-cap,272.58,True,Medium,Families,False,259.42,752,13.16,2,376.0
PRD0196,Clothing,End-cap,195.0,False,Medium,Families,False,186.18,155,8.82,2,77.5
PRD0197,Clothing,Aisle,371.17,True,High,Seniors,True,396.33,896,-25.16,3,298.67
PRD0198,Electronics,Aisle,396.3,True,High,Young Adults,False,443.51,1198,-47.21,3,399.33
PRD0199,Electronics,Aisle,346.21,False,High,Seniors,True,386.41,458,-40.2,3,152.67
PRD0200,Clothing,Front of Store,43.82,False,Medium,College Students,True,47.5,696,-3.68,2,348.0
PRD0201,Clothing,Front of Store,374.0,True,Medium,College Students,False,389.94,854,-15.94,2,427.0
PRD0202,Clothing,End-cap,176.2,True,Low,Seniors,True,154.22,747,21.98,1,747.0
PRD0203,Food,Aisle,53.35,True,Low,Young Adults,True,47.93,471,5.42,1,471.0
PRD0204,Clothing,Aisle,119.91,False,Low,College Students,False,134.25,272,-14.34,1,272.0
PRD0205,Clothing,Front of Store,42.63,False,High,College Students,False,43.99,1345,-1.36,3,448.33
PRD0206,Food,Front of Store,304.56,True,Medium,Families,False,259.72,742,44.84,2,371.0
PRD0207,Electronics,Aisle,308.86,False,Medium,College Students,False,271.93,495,36.93,2,247.5
PRD0208,Clothing,Aisle,299.83,True,Medium,College Students,True,314.54,396,-14.71,2,198.0
PRD0209,Food,Front of Store,484.62,False,Low,College Students,False,412.66,364,71.96,1,364.0
PRD0210,Clothing,Front of Store,166.56,True,High,Seniors,True,149.61,859,16.95,3,286.33
PRD0211,Clothing,Aisle,318.89,False,High,Families,True,323.55,782,-4.66,3,260.67
PRD0212,Food,End-cap,392.86,False,Medium,College Students,False,415.48,1165,-22.62,2,582.5
PRD0213,Electronics,End-cap,228.02,False,Medium,Young Adults,True,238.42,453,-10.4,2,226.5
PRD0214,Food,End-cap,117.93,True,Medium,College Students,True,108.17,469,9.76,2,234.5
PRD0215,Clothing,End-cap,278.75,False,Medium,College Students,False,296.49,1109,-17.74,2,554.5
PRD0216,Electronics,Aisle,190.84,True,Low,Young Adults,False,175.8,426,15.04,1,426.0
PRD0217,Food,End-cap,96.94,False,Low,Young Adults,False,91.86,391,5.08,1,391.0
PRD0218,Food,End-cap,295.01,True,Medium,Young Adults,False,316.83,1313,-21.82,2,656.5
PRD0219,Electronics,Front of Store,193.14,True,Low,Families,True,201.81,491,-8.67,1,491.0
PRD0220,Clothing,End-cap,387.22,True,Medium,Families,True,427.79,1549,-40.57,2,774.5
PRD0221,Food,Front of Store,151.21,True,Medium,Families,True,158.36,1032,-7.15,2,516.0
PRD0222,Food,Front of Store,126.99,True,Medium,Seniors,False,129.59,732,-2.6,2,366.0
PRD0223,Food,Aisle,250.72,True,Low,Young Adults,True,36.34,749,214.38,1,749.0
PRD0224,Clothing,Aisle,137.65,True,Medium,Young Adults,False,132.19,531,5.46,2,265.5
PRD0225,Food,Aisle,193.1,True,Medium,Families,False,179.5,611,13.6,2,305.5
PRD0226,Electronics,Aisle,393.03,True,High,Young Adults,True,362.84,1062,30.19,3,354.0
PRD0227,Electronics,Front of Store,81.37,True,High,College Students,True,92.92,1789,-11.55,3,596.33
PRD0228,Food,Aisle,197.86,False,Low,Families,True,191.51,513,6.35,1,513.0
PRD0229,Food,Front of Store,250.72,True,High,College Students,True,205.14,1299,45.58,3,433.0
PRD0230,Electronics,Aisle,50.3,True,Low,Young Adults,True,52.28,387,-1.98,1,387.0
PRD0231,Electronics,End-cap,471.77,True,Medium,Young Adults,False,513.49,1139,-41.72,2,569.5
PRD0232,Food,End-cap,225.14,False,High,College Students,True,225.32,920,-0.18,3,306.67
PRD0233,Electronics,Front of Store,381.87,False,Low,Young Adults,False,390.68,741,-8.81,1,741.0
PRD0234,Clothing,End-cap,250.72,True,Medium,Families,True,55.48,947,195.24,2,473.5
PRD0235,Clothing,End-cap,48.21,True,High,Seniors,True,43.8,1215,4.41,3,405.0
PRD0236,Clothing,Front of Store,218.33,True,High,Seniors,True,232.9,1358,-14.57,3,452.67
PRD0237,Clothing,End-cap,280.71,True,Low,Seniors,False,262.25,379,18.46,1,379.0
PRD0238,Electronics,End-cap,258.66,True,Medium,Young Adults,True,221.75,644,36.91,2,322.0
PRD0239,Clothing,End-cap,56.13,False,High,Families,False,58.58,1570,-2.45,3,523.33
PRD0240,Food,Aisle,49.36,True,Medium,Families,False,44.58,521,4.78,2,260.5
PRD0241,Food,Front of Store,279.34,True,Medium,Young Adults,True,316.25,588,-36.91,2,294.0
PRD0242,Clothing,Aisle,300.48,False,High,Families,True,341.4,957,-40.92,3,319.0
PRD0243,Food,End-cap,393.3,False,Medium,Young Adults,True,442.25,1043,-48.95,2,521.5
PRD0244,Clothing,End-cap,432.54,False,Low,Seniors,True,415.69,595,16.85,1,595.0
PRD0245,Clothing,Aisle,11.11,False,High,Families,False,9.5,974,1.61,3,324.67
PRD0246,Clothing,End-cap,209.84,False,Low,Young Adults,True,236.8,416,-26.96,1,416.0
PRD0247,Food,Front of Store,390.69,False,High,Families,True,382.27,516,8.42,3,172.0
PRD0248,Food,Front of Store,363.8,False,Low,College Students,False,414.73,670,-50.93,1,670.0
PRD0249,Clothing,Front of Store,281.97,True,Medium,College Students,False,321.19,774,-39.22,2,387.0
PRD0250,Clothing,End-cap,496.4,False,Medium,College Students,False,548.97,712,-52.57,2,356.0
PRD0251,Clothing,Front of Store,125.16,True,Low,Young Adults,True,117.44,763,7.72,1,763.0
PRD0252,Clothing,Front of Store,262.95,True,Medium,Families,True,253.89,910,9.06,2,455.0
PRD0253,Electronics,End-cap,344.23,True,Low,College Students,True,380.49,796,-36.26,1,796.0
PRD0254,Clothing,Aisle,88.9,True,High,Families,False,84.02,1608,4.88,3,536.0
PRD0255,Food,Aisle,138.11,True,High,Young Adults,True,124.42,786,13.69,3,262.0
PRD0256,Clothing,End-cap,137.86,False,Medium,College Students,True,140.21,984,-2.35,2,492.0
PRD0257,Electronics,Front of Store,77.24,True,Medium,College Students,False,87.35,872,-10.11,2,436.0
PRD0258,Food,Aisle,87.77,False,High,Young Adults,True,92.93,891,-5.16,3,297.0
PRD0259,Electronics,Aisle,141.6,False,Medium,Families,True,144.58,802,-2.98,2,401.0
PRD0260,Clothing,Aisle,153.38,True,High,College Students,True,134.84,1123,18.54,3,374.33
PRD0261,Food,End-cap,392.42,True,High,Families,True,405.96,1341,-13.54,3,447.0
PRD0262,Clothing,Aisle,183.76,False,Low,Seniors,False,210.78,508,-27.02,1,508.0
PRD0263,Food,Aisle,472.39,True,Low,Young Adults,True,421.38,311,51.01,1,311.0
PRD0264,Food,End-cap,361.85,False,High,College Students,True,363.84,864,-1.99,3,288.0
PRD0265,Food,End-cap,250.72,True,High,Young Adults,False,278.77,1030,-28.05,3,343.33
PRD0266,Electronics,End-cap,310.25,False,Low,Seniors,True,332.66,221,-22.41,1,221.0
PRD0267,Clothing,Aisle,231.64,True,High,Young Adults,True,245.33,1734,-13.69,3,578.0
PRD0268,Electronics,Aisle,72.07,True,High,Young Adults,True,76.45,717,-4.38,3,239.0
PRD0269,Electronics,End-cap,8.35,True,High,College Students,True,8.0,1274,0.35,3,424.67
PRD0270,Clothing,Front of Store,200.87,False,Medium,Seniors,True,188.43,550,12.44,2,275.0
PRD0271,Clothing,End-cap,421.6,False,Low,College Students,True,460.73,588,-39.13,1,588.0
PRD0272,Clothing,Aisle,193.05,True,High,Families,True,211.01,1334,-17.96,3,444.67
PRD0273,Food,Aisle,431.79,False,High,Seniors,False,479.34,1037,-47.55,3,345.67
PRD0274,Electronics,End-cap,222.91,False,Medium,Young Adults,True,250.54,635,-27.63,2,317.5
PRD0275,Electronics,Front of Store,218.16,True,Medium,Young Adults,False,218.9,814,-0.74,2,407.0
PRD0276,Electronics,Front of Store,412.65,True,High,Families,False,412.84,1396,-0.19,3,465.33
PRD0277,Electronics,Aisle,327.26,True,Low,Young Adults,True,356.55,463,-29.29,1,463.0
PRD0278,Electronics,Front of Store,299.22,True,Medium,College Students,True,312.68,1271,-13.46,2,635.5
PRD0279,Food,Front of Store,153.72,True,Low,Seniors,False,163.03,689,-9.31,1,689.0
PRD0280,Clothing,Front of Store,303.59,True,Medium,Families,False,330.53,805,-26.94,2,402.5
PRD0281,Food,End-cap,349.17,True,Medium,Families,True,390.02,1200,-40.85,2,600.0
PRD0282,Food,Aisle,250.72,False,Low,Young Adults,True,230.34,473,20.38,1,473.0
PRD0283,Food,End-cap,92.93,True,High,Young Adults,True,89.46,1439,3.47,3,479.67
PRD0284,Clothing,Front of Store,202.13,False,Low,Families,True,177.51,256,24.62,1,256.0
PRD0285,Clothing,Aisle,162.97,True,High,College Students,False,166.8,1201,-3.83,3,400.33
PRD0286,Electronics,End-cap,368.76,False,High,College Students,False,317.42,844,51.34,3,281.33
PRD0287,Food,Aisle,318.29,True,Medium,Seniors,True,315.01,546,3.28,2,273.0
PRD0288,Electronics,End-cap,484.04,True,Medium,Young Adults,True,490.23,1177,-6.19,2,588.5
PRD0289,Clothing,Aisle,392.08,True,Medium,Families,False,366.97,891,25.11,2,445.5
